prospect_id,industry,region,channel,campaign,previous_applications,website_visits,email_opens,email_clicks,sales_contacts,duplicate_application_flag,velocity_flag,gaming_risk_score,ml_anomaly_flag,anomaly_score
113928,Logistics,East,Partner,Cashback_Business,4,8,4,0,1,1,0,65,1,0.5796013527411186
113211,Healthcare,West,Partner,Cashback_Business,3,12,7,1,1,1,0,65,1,0.5791670051524166
109199,Professional Services,South,Partner,Enterprise_Expansion,3,8,2,3,0,1,0,65,1,0.5789197464348277
114729,Healthcare,South,Social,Startup_Accelerator,3,8,4,3,0,1,0,65,1,0.5784293218359869
108723,Healthcare,West,Paid Search,Enterprise_Expansion,4,3,3,0,1,1,0,65,1,0.5783668104122304
100401,Technology,East,Social,Startup_Accelerator,3,10,5,1,0,1,0,65,1,0.5769144400470961
120533,Financial Services,East,Web,Travel_Corporate,3,5,6,0,3,1,0,65,1,0.5768235958116948
122408,Healthcare,South,Paid Search,Startup_Accelerator,3,9,1,1,0,1,0,65,1,0.5753482755952166
116885,Education,North,Referral,Cashback_Business,4,4,3,2,4,1,0,65,1,0.5747197542323774
106172,Financial Services,East,Sales Outreach,Startup_Accelerator,3,3,6,1,3,1,0,65,1,0.5729920971344533
112985,Retail,West,Referral,Cashback_Business,3,7,4,3,0,1,0,65,1,0.5727365044704564
121628,Construction,North,Web,Business_Premium,5,4,3,3,3,1,0,65,0,0.5709227324405819
101765,Professional Services,West,Sales Outreach,SME_Growth,3,11,5,1,2,1,0,65,0,0.5707005757315731
112834,Construction,West,Sales Outreach,Startup_Accelerator,3,9,5,0,4,1,0,65,0,0.5706243559810688
113986,Financial Services,West,Referral,Travel_Corporate,3,5,2,2,0,1,0,65,0,0.57058359918265
111203,Manufacturing,South,Email,Startup_Accelerator,3,6,8,0,1,1,0,65,0,0.5702175957198045
109868,Education,East,Sales Outreach,Business_Premium,3,10,4,0,3,1,0,65,0,0.568942051242421
121337,Manufacturing,South,Sales Outreach,SME_Growth,3,7,4,4,2,1,0,65,0,0.5687615995266628
112421,Hospitality,East,Sales Outreach,SME_Growth,3,4,3,3,3,1,0,65,0,0.5680073344201196
109109,Education,West,Referral,SME_Growth,4,10,4,2,4,1,0,65,0,0.5669927787264669
106396,Education,North,Email,Travel_Corporate,3,9,7,1,2,1,0,65,0,0.5665348124170655
120178,Professional Services,East,Email,SME_Growth,3,7,1,3,2,1,0,65,0,0.5663352145638896
101405,Hospitality,East,Partner,SME_Growth,3,6,0,2,3,1,0,65,0,0.5663313981977545
102875,Logistics,South,Social,Travel_Corporate,5,9,3,0,3,1,0,65,0,0.5647471134312824
121001,Manufacturing,South,Referral,Travel_Corporate,3,5,6,3,1,1,0,65,0,0.5643051872349663
118093,Retail,West,Social,Business_Premium,3,7,3,1,0,1,0,65,0,0.5642753568094384
101389,Logistics,South,Social,Startup_Accelerator,3,4,4,1,4,1,0,65,0,0.5640038527388856
118092,Education,North,Social,Enterprise_Expansion,3,8,4,2,4,1,0,65,0,0.5639963334524613
113624,Logistics,West,Web,Enterprise_Expansion,3,5,4,1,4,1,0,65,0,0.5636820544068688
115717,Hospitality,South,Sales Outreach,Cashback_Business,3,9,2,1,2,1,0,65,0,0.5622686865975901
121422,Construction,South,Paid Search,Business_Premium,3,12,4,1,2,1,0,65,0,0.5617185419777433
121470,Education,North,Paid Search,Cashback_Business,4,7,2,0,3,1,0,65,0,0.5603952362797284
123174,Construction,East,Email,Cashback_Business,3,5,6,1,4,1,0,65,0,0.5601358167574296
120151,Construction,North,Email,Travel_Corporate,3,7,5,0,4,1,0,65,0,0.5590526943537804
107732,Retail,South,Partner,Cashback_Business,3,11,3,0,1,1,0,65,0,0.5586917839499478
108425,Technology,West,Referral,Business_Premium,3,10,3,0,1,1,0,65,0,0.5580431568518432
104857,Professional Services,North,Paid Search,Cashback_Business,3,7,5,3,1,1,0,65,0,0.5577741038034688
100635,Education,South,Email,SME_Growth,3,10,4,0,1,1,0,65,0,0.5570544607410977
102579,Technology,North,Paid Search,Cashback_Business,3,9,6,1,3,1,0,65,0,0.5562232248269965
101827,Financial Services,East,Social,Cashback_Business,3,6,3,0,3,1,0,65,0,0.5557797569193293
108039,Financial Services,North,Email,SME_Growth,3,4,4,3,1,1,0,65,0,0.5549551938475928
123442,Logistics,South,Sales Outreach,SME_Growth,3,9,2,0,2,1,0,65,0,0.5543104496320793
109672,Professional Services,South,Email,Cashback_Business,3,11,4,2,1,1,0,65,0,0.5518950871665949
115585,Hospitality,South,Partner,Cashback_Business,3,6,6,0,3,1,0,65,0,0.5512195742121614
108962,Construction,West,Web,Enterprise_Expansion,3,7,4,1,0,1,0,65,0,0.5510527449300214
108166,Hospitality,West,Email,Startup_Accelerator,4,8,6,1,1,1,0,65,0,0.5501902114984537
106898,Financial Services,East,Web,Enterprise_Expansion,3,6,7,1,1,1,0,65,0,0.549777324734238
114435,Hospitality,East,Partner,Cashback_Business,5,9,5,1,1,1,0,65,0,0.5497385045745109
106928,Technology,East,Social,SME_Growth,4,9,3,1,2,1,0,65,0,0.5494014493209145
122989,Technology,North,Paid Search,Business_Premium,5,8,6,1,1,1,0,65,0,0.5487658662202131
113988,Manufacturing,North,Partner,SME_Growth,3,8,3,3,3,1,0,65,0,0.5485339430859613
122068,Hospitality,East,Paid Search,Startup_Accelerator,4,5,3,2,2,1,0,65,0,0.5483731312423312
118309,Hospitality,North,Email,Enterprise_Expansion,3,4,4,2,1,1,0,65,0,0.5475160593420688
115546,Professional Services,West,Email,Cashback_Business,3,9,1,1,2,1,0,65,0,0.5462340953183521
123204,Professional Services,West,Referral,Startup_Accelerator,5,5,3,2,2,1,0,65,0,0.5461902065131381
116052,Hospitality,South,Sales Outreach,SME_Growth,3,7,4,1,0,1,0,65,0,0.5445491521128503
120276,Financial Services,North,Referral,SME_Growth,3,6,2,1,2,1,0,65,0,0.5445108511945499
100591,Manufacturing,East,Social,Business_Premium,4,9,5,1,1,1,0,65,0,0.5444979978278566
104015,Healthcare,South,Sales Outreach,Cashback_Business,3,6,3,0,3,1,0,65,0,0.5437239759826477
101167,Education,South,Social,Cashback_Business,3,6,2,1,2,1,0,65,0,0.543291938942849
119408,Logistics,East,Email,SME_Growth,3,5,3,1,1,1,0,65,0,0.5425478515121621
102534,Financial Services,West,Sales Outreach,Travel_Corporate,3,7,3,3,3,1,0,65,0,0.5408735653127895
118554,Manufacturing,South,Sales Outreach,Cashback_Business,3,7,3,0,2,1,0,65,0,0.5401174291760836
123883,Technology,South,Email,Travel_Corporate,5,7,3,1,3,1,0,65,0,0.5386485871856015
123039,Education,North,Paid Search,SME_Growth,3,9,4,0,1,1,0,65,0,0.5378114483400929
120905,Technology,North,Referral,Travel_Corporate,3,8,2,2,3,1,0,65,0,0.5377336110132092
111962,Retail,West,Web,Travel_Corporate,3,8,4,2,1,1,0,65,0,0.5370689432354568
109628,Logistics,West,Partner,Cashback_Business,3,5,5,1,2,1,0,65,0,0.5348034450044263
100887,Financial Services,East,Partner,Travel_Corporate,3,7,2,1,3,1,0,65,0,0.5307469807363133
100499,Healthcare,West,Partner,Startup_Accelerator,3,6,3,1,2,1,0,65,0,0.5281320294888746
121667,Construction,West,Paid Search,Travel_Corporate,3,5,4,1,2,1,0,65,0,0.5279104468357788
116288,Healthcare,South,Paid Search,Travel_Corporate,3,5,5,1,2,1,0,65,0,0.5252033728190189
122032,Healthcare,West,Email,Cashback_Business,3,8,2,2,2,1,0,65,0,0.5251323147952229
105460,Education,East,Paid Search,Startup_Accelerator,3,8,3,1,3,1,0,65,0,0.5245020173310789
122176,Professional Services,West,Social,SME_Growth,3,5,5,1,2,1,0,65,0,0.5242183901644087
119276,Construction,South,Paid Search,Startup_Accelerator,3,5,4,1,1,1,0,65,0,0.5223645500666956
117064,Education,North,Email,SME_Growth,3,7,3,1,1,1,0,65,0,0.5210324719085865
118569,Technology,West,Sales Outreach,Startup_Accelerator,3,7,3,2,2,1,0,65,0,0.5177526248029702
121811,Construction,West,Web,SME_Growth,3,10,8,6,1,0,0,10,1,0.6926990677825982
113175,Logistics,North,Paid Search,Enterprise_Expansion,3,10,8,0,7,0,0,10,1,0.6791807990858619
105276,Hospitality,North,Sales Outreach,Startup_Accelerator,2,9,5,5,6,0,0,10,1,0.6784723006380271
120488,Technology,West,Referral,Travel_Corporate,2,9,10,4,5,0,0,10,1,0.672149354744396
117714,Financial Services,North,Email,Cashback_Business,2,14,13,2,0,0,0,10,1,0.6681120353957472
104456,Logistics,South,Partner,SME_Growth,2,7,12,5,1,0,0,10,1,0.666865352879285
117009,Professional Services,East,Email,Enterprise_Expansion,2,7,10,5,2,0,0,10,1,0.6668056357755952
121946,Healthcare,South,Email,Cashback_Business,2,16,6,2,5,0,0,10,1,0.6663731222955839
119026,Retail,East,Social,Enterprise_Expansion,3,13,4,5,3,0,0,10,1,0.665829556136032
106508,Logistics,West,Web,Travel_Corporate,4,13,1,2,5,0,0,10,1,0.6651650975820214
117071,Healthcare,East,Email,Enterprise_Expansion,3,10,3,5,4,0,0,10,1,0.664492408844374
102126,Healthcare,South,Referral,Cashback_Business,2,17,3,2,6,0,0,10,1,0.6627094864231308
110257,Financial Services,West,Email,Travel_Corporate,2,6,4,5,6,0,0,10,1,0.6611596662205674
119644,Technology,West,Sales Outreach,Startup_Accelerator,3,10,7,4,1,0,0,10,1,0.6583121597383513
101873,Healthcare,North,Referral,Travel_Corporate,2,7,4,5,5,0,0,10,1,0.6560151632988153
100415,Professional Services,West,Sales Outreach,Travel_Corporate,2,14,3,2,5,0,0,10,1,0.6558819222826086
106411,Financial Services,West,Sales Outreach,Enterprise_Expansion,3,6,8,2,6,0,0,10,1,0.6531025100285553
120919,Healthcare,North,Sales Outreach,SME_Growth,2,15,4,0,6,0,0,10,1,0.6523195282597039
100079,Construction,East,Web,Business_Premium,2,7,4,5,6,0,0,10,1,0.651433369449976
110832,Professional Services,South,Paid Search,Enterprise_Expansion,3,8,2,0,7,0,0,10,1,0.6511782629875186
115260,Technology,South,Email,Enterprise_Expansion,2,6,6,8,3,0,0,10,1,0.6504719434818449
122649,Manufacturing,East,Partner,Travel_Corporate,2,5,7,3,6,0,0,10,1,0.6476647430834764
105245,Manufacturing,South,Web,Business_Premium,2,11,7,5,2,0,0,10,1,0.6417022878868927
110821,Healthcare,North,Partner,Business_Premium,2,6,3,6,3,0,0,10,1,0.6410933182237358
103663,Technology,South,Web,Business_Premium,2,5,4,4,6,0,0,10,1,0.6409307920998891
114182,Financial Services,East,Web,Startup_Accelerator,2,14,2,3,4,0,0,10,1,0.6391170910990037
118984,Financial Services,West,Partner,Startup_Accelerator,3,9,1,4,4,0,0,10,1,0.63908760719938
117918,Logistics,South,Web,SME_Growth,3,6,0,0,0,0,0,10,1,0.6386007094300774
120381,Education,South,Sales Outreach,SME_Growth,3,8,8,3,3,0,0,10,1,0.6380437342539726
114439,Hospitality,East,Email,Travel_Corporate,2,5,9,5,2,0,0,10,1,0.6377487143518646
102128,Manufacturing,East,Paid Search,Enterprise_Expansion,2,10,6,5,2,0,0,10,1,0.6371145030158656
108059,Construction,South,Partner,Travel_Corporate,2,10,3,4,5,0,0,10,1,0.6367014002295144
108058,Technology,West,Web,Enterprise_Expansion,2,8,8,5,1,0,0,10,1,0.6347860857445645
102899,Technology,North,Referral,Enterprise_Expansion,2,3,1,0,6,0,0,10,1,0.6332683894151434
118425,Retail,South,Web,Startup_Accelerator,2,9,6,2,6,0,0,10,1,0.6332060517827748
116936,Education,South,Web,Cashback_Business,2,2,10,4,3,0,0,10,1,0.633016756749254
108784,Logistics,East,Email,SME_Growth,3,6,1,4,5,0,0,10,1,0.6324097360444679
102428,Logistics,East,Web,Travel_Corporate,3,8,7,4,1,0,0,10,1,0.6320527430663877
113969,Technology,North,Web,Cashback_Business,3,10,9,1,3,0,0,10,1,0.6316467658344219
123471,Retail,West,Social,SME_Growth,2,14,9,0,0,0,0,10,1,0.6312068134835762
124251,Manufacturing,South,Paid Search,Travel_Corporate,2,10,1,2,7,0,0,10,1,0.6310834982699685
123498,Professional Services,West,Social,SME_Growth,2,14,7,3,0,0,0,10,1,0.6308197877251782
107848,Hospitality,East,Sales Outreach,Startup_Accelerator,3,7,3,6,1,0,0,10,1,0.6304637131227484
123557,Education,South,Email,Startup_Accelerator,2,2,4,2,6,0,0,10,1,0.6301762609106704
107490,Retail,South,Email,Enterprise_Expansion,3,5,4,5,4,0,0,10,1,0.6294202458760559
108192,Hospitality,South,Web,Enterprise_Expansion,3,6,7,3,0,0,0,10,1,0.6289853140079434
109037,Logistics,West,Email,Startup_Accelerator,6,2,2,2,1,0,0,10,1,0.6288132205499375
120720,Manufacturing,East,Paid Search,Cashback_Business,2,4,6,5,4,0,0,10,1,0.6287489942879494
119427,Logistics,North,Sales Outreach,SME_Growth,3,12,2,0,5,0,0,10,1,0.6281649044840915
123316,Education,North,Partner,Startup_Accelerator,3,2,0,2,3,0,0,10,1,0.6279927312045058
121188,Hospitality,South,Partner,SME_Growth,2,9,4,4,5,0,0,10,1,0.6270479591684758
112447,Education,South,Sales Outreach,Cashback_Business,2,12,4,5,3,0,0,10,1,0.6268192943758645
113879,Logistics,North,Referral,Travel_Corporate,3,3,1,3,4,0,0,10,1,0.6261715875048426
114518,Hospitality,West,Partner,Travel_Corporate,3,3,1,0,5,0,0,10,1,0.626099293842529
121496,Professional Services,South,Referral,Startup_Accelerator,3,9,1,0,5,0,0,10,1,0.6245805357488113
119272,Manufacturing,South,Social,Business_Premium,2,12,8,2,0,0,0,10,1,0.6241287325500929
120886,Manufacturing,East,Paid Search,Startup_Accelerator,2,8,6,5,4,0,0,10,1,0.6238464363090277
123925,Financial Services,South,Email,SME_Growth,2,13,8,2,3,0,0,10,1,0.6226897377638863
116529,Professional Services,East,Social,Startup_Accelerator,3,12,7,1,1,0,0,10,1,0.622081193071806
111239,Healthcare,West,Sales Outreach,Enterprise_Expansion,2,8,2,4,6,0,0,10,1,0.621108362639397
119379,Hospitality,South,Partner,Cashback_Business,2,10,0,0,0,0,0,10,1,0.6209016221819688
117468,Retail,East,Email,Enterprise_Expansion,2,13,6,4,3,0,0,10,1,0.6207119256155565
106806,Healthcare,South,Email,Cashback_Business,2,6,4,7,2,0,0,10,1,0.62058860460157
120174,Professional Services,North,Social,Enterprise_Expansion,2,7,4,5,4,0,0,10,1,0.6204325072075353
121256,Technology,East,Sales Outreach,SME_Growth,2,1,9,1,0,0,0,10,1,0.6204186247204555
105025,Manufacturing,South,Email,Travel_Corporate,2,9,8,5,1,0,0,10,1,0.6195442325920105
109612,Retail,North,Social,Enterprise_Expansion,2,9,6,1,6,0,0,10,1,0.6193503613625935
123254,Education,South,Sales Outreach,SME_Growth,2,6,9,0,5,0,0,10,1,0.6184144567121854
124773,Healthcare,North,Sales Outreach,Travel_Corporate,2,8,8,5,2,0,0,10,1,0.6181463503876401
100468,Healthcare,East,Partner,Travel_Corporate,3,4,2,0,0,0,0,10,1,0.6179231257221031
105120,Retail,West,Paid Search,Startup_Accelerator,2,9,3,3,6,0,0,10,1,0.6178932208036019
105836,Manufacturing,East,Partner,Cashback_Business,3,12,5,2,3,0,0,10,1,0.6172154800971076
123454,Financial Services,North,Paid Search,Startup_Accelerator,3,3,10,1,2,0,0,10,1,0.6171693561715426
107163,Financial Services,North,Partner,SME_Growth,2,8,6,5,3,0,0,10,1,0.6169880137050783
114996,Professional Services,East,Email,Travel_Corporate,2,8,10,3,3,0,0,10,1,0.6169755428680576
104988,Professional Services,East,Partner,Business_Premium,4,5,7,3,4,0,0,10,1,0.61663880805896
113040,Retail,West,Partner,Startup_Accelerator,2,3,6,2,6,0,0,10,1,0.6163554900994447
101470,Logistics,South,Web,Cashback_Business,2,11,9,1,5,0,0,10,1,0.6160558485270425
124611,Professional Services,East,Social,Business_Premium,2,2,5,4,0,0,0,10,1,0.6160164103358913
119643,Retail,South,Social,Startup_Accelerator,2,16,4,2,3,0,0,10,1,0.6152935977898967
113103,Education,North,Sales Outreach,Cashback_Business,3,3,3,3,5,0,0,10,1,0.6146285949968413
105162,Retail,South,Referral,SME_Growth,3,11,4,4,2,0,0,10,1,0.6145033838153425
105316,Healthcare,East,Partner,Startup_Accelerator,2,2,7,0,4,0,0,10,1,0.6138133793917993
116735,Construction,East,Social,Cashback_Business,3,8,9,2,0,0,0,10,1,0.6137429308517256
116229,Construction,East,Paid Search,Startup_Accelerator,2,8,7,5,2,0,0,10,1,0.6135340576599788
120561,Construction,North,Email,Enterprise_Expansion,3,6,6,0,5,0,0,10,1,0.6134413423738172
111961,Financial Services,West,Sales Outreach,SME_Growth,2,9,3,5,2,0,0,10,1,0.6128637396676514
104637,Retail,East,Web,Business_Premium,3,8,2,4,4,0,0,10,1,0.6125443946056637
100751,Retail,West,Social,Enterprise_Expansion,2,4,3,2,6,0,0,10,1,0.612137965190989
114830,Manufacturing,East,Partner,Enterprise_Expansion,3,4,2,5,3,0,0,10,1,0.6120552266013408
121439,Healthcare,West,Partner,SME_Growth,2,10,5,4,4,0,0,10,1,0.612052036632129
124990,Education,South,Sales Outreach,Cashback_Business,2,7,2,6,3,0,0,10,1,0.6117221011795605
114880,Healthcare,East,Sales Outreach,Startup_Accelerator,4,13,4,1,0,0,0,10,1,0.6115373710575124
116759,Retail,North,Web,Cashback_Business,2,2,2,0,5,0,0,10,1,0.6113954343315604
102897,Technology,South,Partner,Startup_Accelerator,4,3,3,0,4,0,0,10,1,0.6113162417332554
119548,Healthcare,West,Social,Cashback_Business,3,3,4,2,0,0,0,10,1,0.6111968981370399
108114,Construction,North,Social,Travel_Corporate,2,11,4,0,6,0,0,10,1,0.6106529329388682
117175,Technology,East,Sales Outreach,SME_Growth,3,4,1,2,4,0,0,10,1,0.6104963403915856
113170,Education,East,Email,Travel_Corporate,2,5,2,5,4,0,0,10,1,0.6094630011814112
111839,Technology,South,Sales Outreach,Travel_Corporate,3,9,3,0,0,0,0,10,1,0.6093696542369539
119401,Retail,South,Email,Startup_Accelerator,2,3,3,0,6,0,0,10,1,0.6090734020724327
120447,Logistics,South,Paid Search,Startup_Accelerator,2,12,3,4,2,0,0,10,1,0.6088584573784709
121031,Logistics,South,Email,Startup_Accelerator,2,7,5,0,8,0,0,10,1,0.6085129013886771
117140,Professional Services,East,Partner,Business_Premium,2,13,6,2,4,0,0,10,1,0.6081578786398548
111970,Construction,West,Partner,SME_Growth,2,10,2,6,1,0,0,10,1,0.6079880564560468
112800,Technology,South,Partner,Startup_Accelerator,2,11,3,5,2,0,0,10,1,0.6077091855365775
107495,Construction,North,Web,Enterprise_Expansion,2,3,1,4,0,0,0,10,1,0.6076153851621297
103669,Professional Services,South,Email,SME_Growth,2,5,2,6,2,0,0,10,1,0.6074364451233701
111443,Professional Services,East,Email,Travel_Corporate,3,12,3,0,0,0,0,10,1,0.6072957331291388
115479,Construction,South,Web,Business_Premium,2,7,6,5,0,0,0,10,1,0.6072033295275192
112723,Construction,North,Social,Startup_Accelerator,2,10,4,5,3,0,0,10,1,0.6068030426763865
109405,Technology,North,Referral,Cashback_Business,2,12,2,5,1,0,0,10,1,0.606637225323807
108345,Financial Services,East,Partner,Startup_Accelerator,3,4,9,1,1,0,0,10,1,0.6065525154781438
110450,Professional Services,North,Web,Cashback_Business,4,5,5,0,5,0,0,10,1,0.6064119822944147
123056,Construction,West,Sales Outreach,Business_Premium,4,7,6,0,0,0,0,10,1,0.6062770614176947
107731,Hospitality,South,Web,Travel_Corporate,2,3,1,0,0,0,0,10,1,0.6061603794725402
102187,Manufacturing,East,Partner,Business_Premium,2,4,4,2,6,0,0,10,1,0.605151663860743
117298,Construction,West,Social,Business_Premium,2,9,4,5,3,0,0,10,1,0.6049957453116299
108942,Financial Services,South,Sales Outreach,Startup_Accelerator,2,3,1,3,5,0,0,10,1,0.6049175128660506
111359,Logistics,West,Referral,Business_Premium,2,2,1,0,5,0,0,10,1,0.6046275650471362
115835,Professional Services,East,Sales Outreach,Business_Premium,3,3,5,1,0,0,0,10,1,0.6045820820450233
113759,Professional Services,West,Sales Outreach,SME_Growth,3,7,5,3,4,0,0,10,1,0.6045440766799226
111215,Construction,West,Email,Cashback_Business,3,2,4,1,4,0,0,10,1,0.6035819261337605
117960,Manufacturing,North,Sales Outreach,Business_Premium,3,5,7,1,4,0,0,10,1,0.6033349679243634
120569,Financial Services,West,Referral,Enterprise_Expansion,3,12,7,0,2,0,0,10,1,0.6029778079651213
117077,Retail,South,Web,Enterprise_Expansion,2,5,7,1,6,0,0,10,1,0.6024239774225926
116248,Professional Services,East,Email,Business_Premium,2,0,8,1,0,0,0,10,1,0.602421070476758
122669,Healthcare,West,Referral,SME_Growth,3,3,6,3,0,0,0,10,1,0.6023076885123521
116513,Healthcare,North,Sales Outreach,Business_Premium,2,4,4,0,6,0,0,10,1,0.6022460074789161
104885,Retail,East,Partner,Enterprise_Expansion,3,4,3,4,3,0,0,10,1,0.6022193298132327
101945,Hospitality,West,Social,Enterprise_Expansion,3,7,2,2,6,0,0,10,1,0.6015616799248944
104907,Manufacturing,East,Web,SME_Growth,2,11,5,0,6,0,0,10,1,0.600368513999006
103053,Professional Services,North,Paid Search,Travel_Corporate,3,10,3,2,5,0,0,10,1,0.5995486149696582
103119,Professional Services,North,Social,Travel_Corporate,2,6,9,4,2,0,0,10,1,0.5992079634909115
124971,Professional Services,North,Sales Outreach,Business_Premium,2,11,2,1,6,0,0,10,1,0.5990201250211957
107216,Retail,North,Referral,Startup_Accelerator,2,5,4,4,4,0,0,10,1,0.5985634166000513
100881,Logistics,West,Email,SME_Growth,2,6,9,0,5,0,0,10,1,0.5983097113665246
103120,Education,North,Web,Startup_Accelerator,2,3,1,1,0,0,0,10,1,0.5982200856836226
101075,Education,West,Sales Outreach,Travel_Corporate,3,8,4,5,2,0,0,10,1,0.5981065759619499
104946,Construction,West,Social,Travel_Corporate,3,5,7,1,4,0,0,10,1,0.5979832259898814
114201,Manufacturing,East,Partner,Startup_Accelerator,2,6,0,4,0,0,0,10,1,0.5978755464020487
115274,Logistics,South,Sales Outreach,Cashback_Business,2,13,7,3,0,0,0,10,1,0.5977629491831541
120320,Logistics,West,Social,SME_Growth,2,10,6,5,2,0,0,10,1,0.5976184235136811
110473,Financial Services,East,Partner,SME_Growth,2,2,1,0,2,0,0,10,1,0.5974339633450056
109798,Professional Services,West,Social,SME_Growth,2,3,6,0,0,0,0,10,1,0.5972761572210241
110358,Retail,South,Partner,Cashback_Business,4,6,5,4,1,0,0,10,1,0.5970699543777597
124976,Construction,West,Web,Travel_Corporate,2,5,2,3,6,0,0,10,1,0.5970023171570991
122835,Construction,South,Web,Cashback_Business,2,4,3,6,1,0,0,10,1,0.5967435999248427
106930,Professional Services,North,Partner,SME_Growth,2,10,3,4,4,0,0,10,1,0.5966629401593729
104185,Healthcare,West,Email,Enterprise_Expansion,2,2,2,1,6,0,0,10,1,0.5962025421415375
104447,Hospitality,North,Partner,Travel_Corporate,2,9,10,2,2,0,0,10,1,0.595748685701903
117914,Hospitality,East,Web,SME_Growth,3,7,4,0,5,0,0,10,1,0.595546915222186
107036,Logistics,East,Email,Startup_Accelerator,3,9,6,0,4,0,0,10,1,0.5954160577545914
105390,Professional Services,South,Social,Travel_Corporate,2,5,12,2,0,0,0,10,1,0.5952952962045355
107017,Technology,North,Referral,Business_Premium,3,8,9,2,2,0,0,10,1,0.5952809635317446
124323,Manufacturing,West,Social,Travel_Corporate,2,0,3,0,2,0,0,10,1,0.5952480230095922
101969,Financial Services,East,Partner,Business_Premium,3,7,5,4,1,0,0,10,1,0.5949767746595057
112535,Education,West,Sales Outreach,SME_Growth,3,7,2,4,1,0,0,10,1,0.5949615178803553
113090,Logistics,North,Sales Outreach,Enterprise_Expansion,2,9,4,5,1,0,0,10,1,0.5949575289281566
109871,Financial Services,East,Paid Search,Enterprise_Expansion,3,4,2,2,5,0,0,10,1,0.5948723074281349
103033,Technology,East,Partner,Travel_Corporate,3,7,9,1,3,0,0,10,1,0.5946319435696878
